original_inventory_sector,strategy_name,total_reduction,n_sources,avg_difficulty,priority_score,rank_by_impact,rank_by_priority
pulp-and-paper,Conversion to biomass fuels and optimization of equipment,36876179.381034,344,6.97524284883721,5286723.370094756,1,1
pulp-and-paper,Unspecified solution,3852221.528196,0,10.0,385222.1528196,2,2
railways,Electrification of railways,60795788.169828,0,10.0,6079578.8169828,1,1
residential-onsite-fuel-usage,Technology retrofit,1601300070.070642,47669,5.591571442132203,286377467.7016426,1,1
residential-onsite-fuel-usage,Unspecified solution,0.0053289999999999995,0,10.0,0.0005329,2,2
rice-cultivation,Balanced fertilizer composition,147518478.207934,7019,3.5746597709075365,41267837.40609863,1,1
rice-cultivation,Alternate wetting and drying,32471080.578924,2483,5.47680621908981,5928835.032677195,2,2
rice-cultivation,Unspecified solution,3374201.458394,0,10.0,337420.1458394,3,3
road-transportation,Transition to EVs,2929425234.934888,46820,4.765472531930799,614718732.5719386,1,1
road-transportation,Unspecified solution,2080620.117463,756,7.963297900793651,261276.18775327216,2,2
road-transportation,Benchmark-based retrofits,1028390.487571,164,6.114239554878049,168195.97569587076,3,3
rock-quarrying,Electrification of mine equipment,1218807.593986,0,10.0,121880.7593986,1,1
sand-quarrying,Electrification of mine equipment,569063.168025,0,10.0,56906.316802500005,1,1
shrubgrass-fires,Grassland fire management,889425519.627381,7823,5.794138636456602,153504355.94190544,1,1
shrubgrass-fires,Unspecified solution,0.002598,0,10.0,0.0002598,2,2
solid-waste-disposal,Unspecified solution,47215536.480434,158,9.981494411110132,4730307.360376785,1,5
solid-waste-disposal,Diversion and biocover (sanitary landfill),40434456.775371,1714,3.018876563010502,13393875.480304075,2,1
solid-waste-disposal,Diversion and improve gas capture,35755194.347209,731,3.466363760601915,10314899.651789663,3,2
solid-waste-disposal,Diversion and Management,23936411.040036,773,4.311060822768434,5552325.059674002,4,4
solid-waste-disposal,Diversion and daily/intermediate cover (sanitary landfill),14246242.995408,2119,4.552785780084946,3129126.57953834,5,6
solid-waste-disposal,Diversion and gas capture (sanitary landfill),13693124.625408,51,1.649068019607843,8303553.56030996,6,3
solid-waste-disposal,Diversion and shut down,10431610.222184,6123,6.696076202678426,1557869.1022081506,7,7
solid-waste-disposal,Benchmark-based retrofits,5283599.569161,465,4.1723249483870966,1266344.2168385016,8,8
solid-waste-disposal,Diversion and biocover (controlled dumpsite),780942.079671,527,4.099785318785579,190483.6519348109,9,9
solid-waste-disposal,Diversion and gas capture (controlled dumpsite),450548.875664,108,3.5070371388888892,128469.94708665798,10,10
solid-waste-disposal,Do nothing,322204.103527,834,4.677880911270983,68878.2185007478,11,11
solid-waste-disposal,Diversion and daily/intermediate cover (controlled dumpsite),23773.464472,52,4.539504096153847,5237.017958006112,12,12
synthetic-fertilizer-application,Adopt nitrification/urease inhibitors to cut N₂O,197356814.677231,38866,4.195931555215355,47035279.789520234,1,1
synthetic-fertilizer-application,Unspecified solution,2164.615463,0,10.0,216.4615463,2,2
textiles-leather-apparel,Energy efficiency + heat pumps,19024759.336582,10736,4.485001261084203,4241862.650442814,1,1
textiles-leather-apparel,Unspecified solution,1135370.920952,0,10.0,113537.0920952,2,2
water-reservoirs,Withdrawal Height Adjustment,36197745.50261,1181,5.176786440304826,6992319.640768985,1,1
water-reservoirs,Flow control,13805688.14056,3315,5.599457165912519,2465540.4499929138,2,2
water-reservoirs,Aeration and oxygenation,3960679.265499,1996,5.500018912825651,720121.026541014,3,3
water-reservoirs,Benchmark-based retrofits,2825780.247779,370,6.370648305405406,443562.43074686214,4,4
water-reservoirs,shut down reservoir,282812.214822,3,5.879406333333333,48102.17202008888,5,5
water-reservoirs,Unspecified solution,79800.579897,169,6.97621517679558,11438.950473092375,6,6
wetland-fires,Reduce Wetland Fire Activity,20590102.542117,2178,5.7832966359045,3560270.869435826,1,1
wetland-fires,Unspecified solution,0.001241,0,10.0,0.00012409999999999998,2,2
wood-and-wood-products,Energy from biomass,8912397.289526,0,10.0,891239.7289526,1,1
wood-and-wood-products,Unspecified solution,8.577577,0,10.0,0.8577577,2,2
